tipoSorteo,primerPremio,segundoPremio,tercerPremio,serie,folio,letra,numeroSorteo,numeroSorteoChance,fecha
Zodiaco,6836,59,71,2,24,BBCA,379,,20-10-2023
Dominical,7691,7485,0308,22,13,CDCC,5418,,22-10-2023
Intermedio,9892,3022,3129,14,13,DCAD,2931,,25-10-2023
Dominical,6837,7960,5436,11,12,BCDA,5419,,29-10-2023
Intermedio,3211,7509,9332,2,14,AADD,2932,,01-11-2023
Dominical,6184,5188,1788,16,15,CDCD,5420,,05-11-2023
Intermedio,6455,6390,5755,6,5,AACB,2933,,08-11-2023
Dominical,4867,8916,1119,13,13,ACBD,5421,,12-11-2023
Intermedio,6286,7808,3826,11,5,BCAC,2934,,15-11-2023
Zodiaco,4231,01,25,8,12,CBBA,380,,17-11-2023
Dominical,5926,4785,6039,15,15,ABDC,5422,,19-11-2023
Intermedio,4573,3612,2145,16,4,AABD,2935,,22-11-2023
Dominical,3299,2334,7265,7,12,DACB,5423,,26-11-2023
Intermedio,7950,6823,2751,6,11,BBBD,2936,,29-11-2023
Dominical,0991,1886,8287,3,2,DCDD,5424,,03-12-2023
Intermedio,4394,9518,3699,21,7,ADCD,2937,,06-12-2023
Dominical,7300,1920,6301,2,4,DBCD,5425,,10-12-2023
Intermedio,3094,5071,9330,12,10,ADCA,2938,,13-12-2023
Extraordinaria,50611,02349,55598,2,7,CCCD,5426,,17-12-2023
Intermedio,2619,4650,0614,10,7,DACD,2939,,20-12-2023
Dominical,9059,7290,2327,4,4,BCDA,5427,,24-12-2023
Intermedio,9395,4894,1974,17,11,ABAD,2940,,27-12-2023
Zodiaco,0312,69,86,9,18,CDAB,381,,29-12-2023
Dominical,3700,9265,7842,4,9,DACC,5428,,31-12-2023
Intermedio,1003,0806,2214,19,9,AABA,2941,,03-01-2024
Dominical,5968,6570,4439,22,6,AADD,5429,,07-01-2024
Intermedio,8314,7106,6621,20,14,ADAB,2942,,10-01-2024
Dominical,5049,3118,8001,7,13,DBAA,5430,,14-01-2024
Intermedio,4691,4923,8464,23,5,CCAC,2943,,17-01-2024
Dominical,3621,5802,6453,8,15,BBCB,5431,,21-01-2024
Intermedio,2245,3049,6599,17,2,CAAB,2944,,24-01-2024
Zodiaco,9999,57,97,9,16,CCAA,382,,26-01-2024
Dominical,8746,8066,3919,25,3,BADB,5432,,28-01-2024
Intermedio,8924,4397,9886,23,2,CBDB,2945,,31-01-2024
Dominical,8286,1565,8512,23,9,DBDC,5433,,04-02-2024
Intermedio,6937,5939,5229,11,10,CDDC,2946,,07-02-2024
Dominical,6762,6998,6452,4,15,AAAB,5434,,11-02-2024
Intermedio,4302,2044,0401,7,15,DCCD,2947,,14-02-2024
Dominical,8230,1370,5381,13,10,CDAC,5435,,18-02-2024
Intermedio,2661,5015,1430,21,6,DBAA,2948,,21-02-2024
Dominical,1894,8260,8437,17,9,BADB,5436,,25-02-2024
Intermedio,4187,6778,3360,11,7,ABDC,2949,,28-02-2024
Zodiaco,0490,84,31,1,1,CACA,383,,01-03-2024
Dominical,5980,9588,0896,11,14,AAAB,5437,,03-03-2024
Intermedio,7584,2996,0027,13,2,DDBA,2950,,06-03-2024
Dominical,4585,0555,7784,7,13,BACB,5438,,10-03-2024
Intermedio,4243,5271,2470,21,9,AAAC,2951,,13-03-2024
Dominical,9804,6970,5637,14,3,BACB,5439,,17-03-2024
Intermedio,1116,3687,2101,23,1,BADD,2952,,20-03-2024
Dominical,2881,2689,1560,1,1,ABCB,5440,,24-03-2024
Intermedio,0378,5972,4786,22,2,CCDC,2953,,27-03-2024
Zodiaco,6920,55,56,7,23,DBAD,384,,29-03-2024
Dominical,6140,8536,5603,19,2,DBDC,5441,,31-03-2024
Intermedio,9231,6687,2110,21,4,CCAC,2954,,03-04-2024
Dominical,3145,3197,9078,24,6,DDDA,5442,,07-04-2024
Intermedio,1420,3087,6274,18,10,DDCB,2955,,10-04-2024
Extraordinaria,37162,83335,72408,2,12,DCDA,5443,,14-04-2024
Intermedio,3553,3949,5468,5,8,ADBC,2956,,17-04-2024
Dominical,8671,9510,3701,12,3,ADCA,5444,,21-04-2024
Intermedio,8144,7223,8003,18,9,DDBD,2957,,24-04-2024
Zodiaco,8641,09,46,5,17,BACD,385,,26-04-2024
Dominical,9917,4559,6713,12,5,DBAC,5445,,28-04-2024
Intermedio,1560,8842,7054,18,14,ACDC,2958,,01-05-2024
Dominical,5444,8809,8730,11,10,ABCB,5446,,05-05-2024
Intermedio,9098,4890,0002,14,14,CAAA,2959,,08-05-2024
Dominical,5924,3826,4908,19,8,DABA,5447,,12-05-2024
Intermedio,4816,9524,4706,8,5,DCDC,2960,,15-05-2024
Dominical,3734,6766,9542,21,4,CBBC,5448,,19-05-2024
Intermedio,8612,5903,4093,19,9,CBBD,2961,,22-05-2024
Dominical,4074,8917,0990,12,11,ACCB,5449,,26-05-2024
Intermedio,4554,4716,6194,9,15,DABA,2962,,29-05-2024
Zodiaco,7429,41,50,4,12,BBBC,386,,31-05-2024
Dominical,5350,9051,0984,13,5,ACAA,5450,,02-06-2024
Intermedio,7016,6731,1749,1,3,ADBC,2963,,05-06-2024
Dominical,0219,4222,0796,14,13,DCDA,5451,,09-06-2024
Intermedio,2100,7735,7686,3,1,ADAC,2964,,12-06-2024
Dominical,2404,2870,4089,4,15,CBBC,5452,,16-06-2024
Intermedio,3312,0492,0714,7,11,DBCC,2965,,19-06-2024
Dominical,9721,9007,2279,22,5,AABC,5453,,23-06-2024
Intermedio,3272,0340,1745,16,5,CBAB,2966,,26-06-2024
Dominical,7203,8286,7308,9,10,CCCC,5454,,30-06-2024
Intermedio,0923,1143,4314,9,12,DDCC,2967,,03-07-2024
Dominical,8551,2710,0554,8,11,ADAC,5455,,07-07-2024
Intermedio,7449,8380,2054,12,10,AAAB,2968,,10-07-2024
Dominical,2046,2016,3493,16,7,DBDD,5456,,14-07-2024
Intermedio,8378,7625,8883,6,2,BDBD,2969,,17-07-2024
Dominical,8057,8358,5082,14,3,BADC,5457,,21-07-2024
Intermedio,0021,0693,3000,5,15,DDDD,2970,,24-07-2024
Zodiaco,9294,74,27,2,22,DABC,388,,26-07-2024
Dominical,1424,2066,6956,18,14,DBCB,5458,,28-07-2024
Intermedio,7421,5944,6050,17,9,BCBA,2971,,31-07-2024
Dominical,7852,3830,2133,11,9,CACC,5459,,04-08-2024
Intermedio,0903,4125,6191,13,15,CDAD,2972,,07-08-2024
Dominical,4500,3829,1492,18,9,BBCD,5460,,11-08-2024
Intermedio,2567,1366,8855,11,6,CABC,2973,,14-08-2024
Extraordinaria,03776,78865,74666,3,6,ADCB,5461,,18-08-2024
Intermedio,3733,7879,9572,2,3,CBDA,2974,,21-08-2024
Dominical,5335,9709,4012,9,2,AABD,5462,,25-08-2024
Intermedio,4091,0689,3653,4,9,CCBA,2975,,28-08-2024
Zodiaco,5288,78,85,7,7,CCCA,389,,30-08-2024
Dominical,8509,9008,0319,18,2,BDCD,5463,,01-09-2024
Intermedio,1431,5701,6256,1,1,CDAA,2976,,04-09-2024
Dominical,9330,3584,4930,28,4,DCAC,5464,,08-09-2024
Intermedio,8773,2957,4993,18,1,ACDA,2977,,11-09-2024
Dominical,3139,7752,3703,11,9,DCBA,5465,,15-09-2024
Intermedio,3251,1169,1643,9,5,DDBC,2978,,18-09-2024
Dominical,6568,3455,1098,11,1,DACC,5466,,22-09-2024
Intermedio,0436,9347,8880,22,8,BDCC,2979,,25-09-2024
Zodiaco,0099,95,37,3,5,CBAD,390,,27-09-2024
Dominical,9016,6287,3231,27,11,DDAC,5467,,29-09-2024
Intermedio,4297,5619,9455,21,13,CBBD,2980,,02-10-2024
Dominical,8077,4537,1182,8,8,CABC,5468,,06-10-2024
Intermedio,6312,6205,6439,1,14,BBBB,2981,,09-10-2024
Dominical,9067,9404,6526,2,11,CBBD,5469,,13-10-2024
Intermedio,5109,9459,7332,9,9,DAAD,2982,,16-10-2024
Dominical,8072,2897,0144,10,10,ABDB,5470,,20-10-2024
Intermedio,9239,0879,1462,3,10,CACD,2983,,23-10-2024
Zodiaco,3756,26,15,5,20,DADC,391,,25-10-2024
Dominical,2576,4608,3726,5,1,DBBD,5471,,27-10-2024
Intermedio,7533,2978,7180,24,10,CCCD,2984,,30-10-2024
Dominical,8299,9251,9877,20,12,ABCD,5472,,03-11-2024
Intermedio,8468,8170,2003,2,9,DABA,2985,,06-11-2024
Dominical,5400,4972,9987,12,12,DCCC,5473,,10-11-2024
Intermedio,0425,9473,4501,7,10,CADB,2986,,13-11-2024
Dominical,3957,1639,7347,25,3,BBAC,5474,,17-11-2024
Intermedio,0014,5151,0348,16,8,ACDA,2987,,20-11-2024
Dominical,6888,3095,4295,5,15,BCBB,5475,,24-11-2024
Intermedio,2988,5179,8395,17,9,DBCCA,2988,,27-11-2024
Zodiaco,4892,18,92,18,20,BBDA,392,,29-11-2024
Dominical,0515,0755,6514,28,5,BDDA,5476,,01-12-2024
Intermedio,4878,1494,7806,3,12,CDDB,2989,,04-12-2024
Dominical,8466,5181,6007,26,4,BAAC,5477,,08-12-2024
Intermedio,0282,4209,7944,21,15,BBAB,2990,,11-12-2024
Extraordinaria,02586,92776,17875,2,11,CBBA,5478,,15-12-2024
Intermedio,0870,0144,9658,16,9,BDAB,2991,,18-12-2024
Dominical,1905,9590,2849,18,7,BABB,5479,,22-12-2024
Intermedio,3667,6295,3555,17,9,DDBD,2992,,25-12-2024
Zodiaco,5048,58,14,6,16,AADC,393,,27-12-2024
Dominical,8556,7529,9348,15,12,BACC,5480,,29-12-2024
Intermedio,4782,3482,4310,18,15,DABD,2993,,01-01-2025
Dominical,2348,4883,1917,2,11,ADCA,5481,,05-01-2025
Intermedio,4784,2891,4598,19,14,ACDA,2994,,08-01-2025
Dominical,9873,9087,4513,8,14,CBAD,5482,,12-01-2025
Intermedio,7473,9397,4603,7,10,ACBB,2995,,15-01-2025
Dominical,3045,4836,3698,20,2,BACD,5483,,19-01-2025
Intermedio,9689,7291,0414,19,1,BCDD,2996,,22-01-2025
Dominical,7931,9451,9961,13,9,CAAA,5484,,26-01-2025
Intermedio,5914,8702,5979,20,4,BBDB,2997,,29-01-2025
Zodiaco,7459,55,39,9,8,CDDA,394,,31-01-2025
Dominical,8287,5646,9490,26,6,DCDC,5485,,02-02-2025
Intermedio,5332,9483,3145,16,1,ACBC,2998,,05-02-2025
Dominical,8870,3265,3531,20,6,CADA,5486,,09-02-2025
Intermedio,1964,5108,5436,11,2,ADAA,2999,,12-02-2025
Dominical,5531,0177,2845,2,12,BDCB,5487,,16-02-2025
Intermedio,9055,7902,9676,10,1,ACBC,3000,,19-02-2025
Dominical,5922,1579,7919,4,5,DCDC,5488,,23-02-2025
Intermedio,8443,5376,5554,6,6,BCAA,3001,,26-02-2025
Zodiaco,0028,21,56,9,18,DBDB,395,,28-02-2025
Dominical,0817,6197,6414,27,8,CCBC,5489,,01-03-2025
Dominical,0817,6197,6414,27,8,CCBC,5489,,02-03-2025
Intermedio,0558,2461,2176,13,8,CBDC,3002,,05-03-2025
Dominical,7201,8607,4621,10,6,BBDB,5490,,09-03-2025
Intermedio,8875,1057,7257,7,15,DBBC,3003,,12-03-2025
Intermedio,8875,1057,7257,7,15,DBBC,3003,,13-03-2025
Dominical,2504,1425,2297,27,6,BCAD,5491,,16-03-2025
Intermedio,9693,0915,7500,1,9,DBAA,3004,,19-03-2025
Dominical,0123,3838,1894,11,3,ACAD,5492,,23-03-2025
Intermedio,9903,0164,0581,3,8,CBCA,3005,,26-03-2025
Zodiaco,1475,76,13,1,24,DCAA,396,,28-03-2025
Dominical,6423,4341,3379,19,15,CADA,5493,,30-03-2025
Intermedio,6119,1832,8811,15,9,CDDD,3006,,02-04-2025
Dominical,6064,7959,0029,6,12,ABAD,5494,,06-04-2025
Intermedio,3138,1873,1151,5,2,AAAB,3007,,09-04-2025
Dominical,1378,4898,1251,19,8,CCAD,5495,,13-04-2025
Intermedio,1803,4992,0285,15,7,ACDA,3008,,16-04-2025
Extraordinaria,42233,78283,89207,2,15,ADDB,5496,,20-04-2025
Intermedio,5917,3125,0653,1,14,CDCD,3009,,23-04-2025
Zodiaco,8040,80,35,4,19,CBBB,397,,25-04-2025
Dominical,8401,9864,2692,12,6,DCBB,5497,,27-04-2025
Intermedio,4185,4117,1017,6,12,CBAD,3010,,30-04-2025
Dominical,8798,1406,9784,13,1,DABA,5498,,04-05-2025
Intermedio,8207,3415,6838,11,10,DDBB,3011,,07-05-2025
Zodiaco,8040,80,35,4,19,CBBB,397,,09-05-2025
Dominical,7824,9499,0495,4,3,ABDC,5499,,11-05-2025
Intermedio,5254,5552,5406,7,7,DBDB,3012,,14-05-2025
Dominical,7838,6820,7570,1,6,ACDB,5500,,18-05-2025
Intermedio,4562,9065,0203,3,13,CCBD,3013,,21-05-2025
Dominical,5730,9647,6254,4,14,BCCA,5501,,25-05-2025
Intermedio,6093,9752,6091,6,12,DCAB,3014,,28-05-2025
Zodiaco,3966,51,13,8,14,ADDB,398,,30-05-2025
Dominical,0350,3466,9854,10,5,CDDD,5502,,01-06-2025
Intermedio,3048,8215,1051,12,5,AADA,3015,,04-06-2025
Dominical,4987,1966,0188,27,9,CBAD,5503,,08-06-2025
Intermedio,6458,3523,1833,9,10,BDCC,3016,,11-06-2025
Dominical,3134,5370,6941,14,10,DDCD,5504,,15-06-2025
Intermedio,7756,7619,1524,1,2,AACD,3017,,18-06-2025
Dominical,6006,5929,1615,6,3,DBCC,5505,,22-06-2025
Intermedio,5212,6503,7561,1,10,BBAD,3018,,25-06-2025
Zodiaco,6540,20,77,4,10,ACAD,399,,27-06-2025
Dominical,4653,0235,2751,14,15,CCDA,5506,,29-06-2025
Intermedio,9591,1470,3669,14,11,BACA,3019,,02-07-2025
Dominical,8473,5475,0863,27,2,BDAB,5507,,06-07-2025
Intermedio,3988,4383,5783,10,2,BBAD,3020,,09-07-2025
Dominical,9512,0032,6720,17,9,CDAA,5508,,13-07-2025
Dominical,2245,1273,7437,12,15,CACA,5509,,20-07-2025
Intermedio,9447,2630,1725,9,8,CBAB,3022,,23-07-2025
Dominical,7962,8224,6765,15,15,ABBD,5510,,27-07-2025
Zodiaco,7673,26,97,6,16,ADCD,400,,01-08-2025
Dominical,2832,5831,8118,1,1,BDAA,5511,,03-08-2025
Intermedio,4318,7053,3380,21,5,ACBA,3024,,06-08-2025
Dominical,4219,9913,7020,7,12,BBCA,5512,,10-08-2025
Extraordinaria,01545,34375,42829,1,12,DDDA,5513,,17-08-2025
Intermedio,4653,8980,8752,16,5,ADBC,3026,,20-08-2025
Dominical,8679,9487,3658,23,4,CDDC,5514,,24-08-2025
Intermedio,1391,3561,8225,12,6,DDBA,3027,,27-08-2025
Zodiaco,1353,89,17,4,21,BDBA,401,,29-08-2025
Dominical,3471,1174,0745,7,6,BDCD,5515,,31-08-2025
Intermedio,0884,5954,2810,22,9,CAAC,3028,,03-09-2025
Dominical,5481,2190,8113,4,13,ACAA,5516,,07-09-2025
Intermedio,2305,4744,0891,19,3,ACDA,3029,,10-09-2025
Dominical,7334,6366,8033,16,9,BAAD,5517,,14-09-2025
Intermedio,5151,4721,8827,15,1,CDBD,3030,,17-09-2025
Dominical,2871,7212,5244,21,6,ACAC,5518,,21-09-2025
Intermedio,3704,6336,3666,11,11,CCAA,3031,,24-09-2025
Dominical,5511,5823,5823,10,9,DDBA,5519,,28-09-2025
Zodiaco,2877,13,01,2,25,BBCB,402,,03-10-2025
Dominical,3349,2350,3665,18,5,ABBD,5520,,05-10-2025
Intermedio,8383,1774,3301,5,10,ACCA,3033,,08-10-2025
Dominical,9695,5798,3877,12,2,BACA,5521,,12-10-2025
Intermedio,7707,9577,3310,18,9,DAAB,3034,,15-10-2025
Dominical,1330,0445,1518,25,2,BDAB,5522,,19-10-2025
Intermedio,4248,8577,8841,19,2,DADA,3035,,22-10-2025
Dominical,9376,8053,8505,14,11,DCCD,5523,,26-10-2025
